Amount,Means,Business,decision
6470,Invoice,False,verify
6816,Card,True,verify
1913,Cash,False,reject
948,Invoice,True,approve
1858,Invoice,False,verify
3635,Cash,True,reject
1845,Cash,False,reject
972,Invoice,True,approve
363,Cash,True,approve
1829,Card,True,approve
375,Invoice,True,approve
1120,Invoice,True,verify
3907,Invoice,True,verify
1150,Cash,True,reject
1082,Cash,True,reject
465,Cash,True,approve
652,Cash,True,verify
1803,Card,False,approve
2899,Cash,False,reject
7082,Invoice,True,verify
644,Invoice,True,approve
2658,Cash,True,reject
2646,Cash,False,reject
5451,Cash,True,reject
1146,Invoice,True,verify
3747,Invoice,False,verify
2441,Invoice,True,verify
1864,Cash,True,reject
1813,Invoice,True,verify
494,Invoice,True,approve
5425,Invoice,False,verify
9963,Cash,True,reject
1241,Cash,True,reject
1174,Invoice,True,verify
6433,Invoice,False,verify
360,Card,True,approve
251,Invoice,True,approve
9572,Cash,False,reject
3866,Cash,True,reject
4886,Invoice,True,verify
32,Cash,False,approve
1167,Invoice,True,verify
9130,Cash,True,reject
1281,Invoice,True,verify
3604,Card,False,approve
1442,Cash,True,reject
2521,Invoice,True,verify
1488,Cash,True,reject
1001,Card,True,approve
3262,Invoice,True,verify
5452,Cash,False,reject
8695,Card,True,verify
289,Cash,False,approve
2677,Invoice,True,verify
1032,Invoice,True,verify
2830,Cash,True,reject
4196,Invoice,True,verify
1236,Invoice,True,verify
6164,Cash,False,reject
6732,Invoice,False,verify
1886,Card,True,approve
6164,Cash,True,reject
670,Invoice,True,approve
4241,Invoice,True,verify
6951,Cash,True,reject
1500,Cash,True,reject
931,Card,True,approve
635,Invoice,True,approve
1667,Invoice,True,verify
1832,Cash,True,reject
5354,Cash,True,reject
4651,Invoice,True,verify
1138,Invoice,True,verify
3272,Invoice,True,verify
1576,Invoice,True,verify
646,Cash,True,verify
4239,Cash,True,reject
5317,Invoice,True,verify
1607,Invoice,True,verify
486,Card,True,approve
1994,Cash,True,reject
2,Cash,True,approve
1567,Invoice,True,verify
6306,Invoice,True,verify
1990,Card,False,approve
3217,Cash,True,reject
6700,Invoice,True,verify
6976,Invoice,False,verify
1845,Invoice,True,verify
616,Cash,False,approve
889,Invoice,False,verify
2572,Cash,False,reject
6928,Card,True,verify
1087,Invoice,False,verify
9194,Cash,False,reject
6884,Invoice,False,verify
361,Invoice,False,verify
1097,Invoice,True,verify
3116,Invoice,True,verify
1997,Invoice,True,verify
489,Invoice,False,verify
4741,Invoice,True,verify
1320,Invoice,True,verify
1447,Cash,False,reject
9708,Card,True,verify
287,Invoice,True,approve
2607,Invoice,False,verify
2919,Invoice,True,verify
209,Card,False,approve
5974,Invoice,False,verify
1562,Cash,True,reject
1019,Invoice,True,verify
150,Cash,False,approve
2090,Invoice,True,verify
640,Invoice,True,approve
4457,Invoice,True,verify
1936,Cash,False,reject
788,Invoice,True,approve
1276,Invoice,True,verify
5919,Cash,True,reject
4945,Cash,True,reject
2487,Invoice,True,verify
5101,Invoice,True,verify
9338,Cash,False,reject
3025,Invoice,True,verify
714,Invoice,False,verify
