Amount,Means,Business,decision
111,Cash,True,approve
5845,Card,False,verify
604,Invoice,True,approve
1738,Invoice,True,verify
64,Cash,True,approve
1198,Invoice,True,verify
1502,Cash,True,reject
7293,Cash,True,reject
8051,Invoice,True,verify
3742,Invoice,False,verify
1193,Invoice,True,verify
8772,Cash,True,reject
4044,Invoice,True,verify
1390,Invoice,True,verify
433,Invoice,True,approve
2017,Cash,True,reject
245,Invoice,True,approve
5014,Cash,True,reject
429,Cash,True,approve
4113,Card,True,approve
5994,Invoice,True,verify
1453,Invoice,True,verify
4594,Cash,False,reject
2422,Cash,False,reject
7395,Cash,False,reject
5913,Cash,True,reject
1192,Cash,True,reject
494,Invoice,True,approve
192,Cash,True,approve
5043,Invoice,True,verify
5664,Cash,False,reject
4638,Cash,True,reject
5970,Cash,True,reject
443,Invoice,True,approve
5843,Card,False,verify
1428,Cash,True,reject
787,Invoice,True,approve
3872,Invoice,True,verify
1869,Invoice,True,verify
5611,Cash,True,reject
6074,Cash,True,reject
5384,Cash,True,reject
362,Invoice,True,approve
1561,Cash,True,reject
4764,Invoice,False,verify
980,Invoice,True,approve
4766,Card,False,approve
2047,Cash,True,reject
6801,Card,True,verify
1573,Invoice,False,verify
1056,Cash,True,reject
275,Cash,True,approve
1184,Invoice,False,verify
6980,Cash,True,reject
1823,Cash,True,reject
4239,Invoice,True,verify
1469,Invoice,True,verify
4479,Cash,True,reject
1172,Invoice,True,verify
1101,Invoice,False,verify
6170,Invoice,True,verify
6973,Cash,True,reject
1282,Cash,False,reject
7523,Cash,True,reject
5636,Cash,True,reject
6366,Invoice,True,verify
5778,Invoice,False,verify
9748,Invoice,False,verify
5557,Invoice,True,verify
7616,Invoice,False,verify
83,Cash,True,approve
6043,Invoice,False,verify
6736,Cash,True,reject
4502,Cash,True,reject
827,Invoice,True,approve
2963,Cash,True,reject
4313,Invoice,False,verify
8280,Cash,False,reject
1591,Card,True,approve
1907,Card,False,approve
3210,Cash,True,reject
376,Cash,False,approve
3465,Invoice,True,verify
1865,Invoice,True,verify
1242,Cash,True,reject
1215,Invoice,False,verify
5471,Invoice,True,verify
1801,Card,False,approve
3127,Cash,True,reject
809,Invoice,True,approve
7297,Cash,True,reject
267,Cash,True,approve
3223,Invoice,True,verify
2276,Invoice,True,verify
4780,Invoice,True,verify
146,Cash,True,approve
6202,Invoice,False,verify
3099,Cash,False,reject
744,Cash,False,approve
5516,Invoice,True,verify
1122,Cash,True,reject
7325,Invoice,True,verify
1646,Invoice,True,verify
446,Invoice,True,approve
6448,Cash,False,reject
3671,Card,False,approve
4514,Invoice,True,verify
4879,Cash,True,reject
1992,Invoice,True,verify
1822,Invoice,True,verify
1521,Cash,True,reject
1480,Cash,True,reject
697,Invoice,True,approve
3541,Invoice,True,verify
3273,Cash,True,reject
1503,Cash,True,reject
1893,Cash,True,reject
3763,Cash,True,reject
453,Cash,True,approve
895,Invoice,True,approve
1701,Invoice,True,verify
6045,Invoice,True,verify
1732,Cash,False,reject
3030,Invoice,True,verify
1791,Invoice,True,verify
5123,Cash,True,reject
7493,Cash,True,reject
6577,Invoice,True,verify
8579,Cash,False,reject
9909,Invoice,True,verify
1772,Cash,False,reject
1654,Invoice,True,verify
7614,Invoice,True,verify
9438,Cash,False,reject
187,Invoice,False,verify
738,Cash,False,approve
2863,Cash,True,reject
142,Invoice,True,approve
611,Invoice,True,approve
1439,Cash,True,reject
1412,Cash,False,reject
393,Cash,True,approve
6560,Cash,True,reject
8608,Invoice,True,verify
1613,Invoice,True,verify
3018,Invoice,True,verify
1142,Cash,False,reject
3096,Card,True,approve
1489,Cash,True,reject
3579,Cash,True,reject
1090,Invoice,True,verify
2455,Invoice,True,verify
5245,Invoice,True,verify
927,Cash,True,verify
2454,Card,True,approve
15,Cash,True,approve
337,Invoice,True,approve
563,Invoice,True,approve
1703,Invoice,False,verify
1577,Invoice,False,verify
2867,Invoice,True,verify
2073,Cash,True,reject
1999,Card,True,approve
9617,Cash,True,reject
232,Cash,True,approve
212,Cash,True,approve
8140,Invoice,True,verify
823,Cash,True,verify
81,Card,True,approve
2441,Invoice,True,verify
4505,Cash,False,reject
623,Invoice,True,approve
3846,Cash,True,reject
4010,Cash,True,reject
4443,Invoice,True,verify
1912,Cash,False,reject
646,Invoice,False,verify
6473,Card,True,verify
6561,Card,True,verify
6253,Cash,False,reject
922,Cash,False,approve
226,Cash,True,approve
1006,Cash,True,reject
2510,Card,True,approve
2683,Invoice,False,verify
6109,Invoice,True,verify
713,Invoice,True,approve
370,Cash,True,approve
4046,Invoice,True,verify
386,Invoice,False,verify
6740,Card,False,verify
3970,Invoice,True,verify
3571,Invoice,True,verify
1377,Cash,True,reject
1302,Invoice,True,verify
3422,Cash,False,reject
9630,Invoice,False,verify
1692,Invoice,True,verify
1946,Cash,True,reject
2979,Cash,True,reject
790,Invoice,True,approve
1472,Cash,False,reject
388,Invoice,True,approve
6124,Invoice,True,verify
4597,Invoice,True,verify
1799,Card,False,approve
3008,Cash,True,reject
8034,Invoice,False,verify
4354,Invoice,True,verify
376,Invoice,True,approve
1026,Card,True,approve
4588,Invoice,True,verify
532,Invoice,True,approve
2865,Invoice,True,verify
5592,Invoice,True,verify
4085,Cash,True,reject
283,Invoice,True,approve
891,Invoice,True,approve
5051,Invoice,True,verify
8172,Cash,False,reject
719,Invoice,True,approve
2002,Invoice,True,verify
1184,Invoice,True,verify
6506,Cash,True,reject
2190,Cash,True,reject
1159,Cash,True,reject
6347,Invoice,True,verify
1528,Cash,True,reject
5365,Invoice,True,verify
853,Cash,True,verify
3229,Cash,True,reject
1205,Invoice,True,verify
179,Invoice,True,approve
7954,Card,False,verify
