Amount,Means,Business,decision
1145,Invoice,True,approve
1030,Card,False,approve
2659,Cash,True,reject
431,Invoice,True,approve
1103,Invoice,True,approve
5433,Invoice,True,verify
5485,Invoice,False,verify
5903,Cash,True,reject
6533,Cash,True,reject
6466,Cash,False,reject
2716,Invoice,True,verify
1976,Invoice,True,verify
5270,Card,True,verify
3332,Invoice,True,verify
1499,Card,True,approve
5884,Invoice,True,verify
3917,Invoice,False,verify
2336,Invoice,True,verify
6141,Invoice,True,verify
2484,Cash,True,reject
1986,Cash,False,reject
7369,Invoice,True,verify
1602,Cash,True,reject
1398,Invoice,False,verify
591,Invoice,True,approve
5508,Cash,False,reject
1520,Invoice,True,verify
3204,Invoice,True,verify
4568,Invoice,True,verify
1222,Invoice,False,verify
572,Invoice,True,approve
5610,Cash,True,reject
4250,Invoice,False,verify
2189,Cash,True,reject
5636,Cash,False,reject
7955,Cash,True,reject
787,Cash,True,verify
4621,Cash,True,reject
3724,Invoice,True,verify
648,Invoice,True,approve
9079,Card,False,verify
129,Cash,True,approve
6088,Invoice,False,verify
1257,Cash,True,reject
1414,Invoice,True,verify
3575,Card,True,approve
4922,Invoice,True,verify
8773,Cash,False,reject
495,Cash,True,approve
4752,Invoice,True,verify
1692,Cash,True,reject
1348,Cash,False,reject
4593,Invoice,False,verify
203,Invoice,False,verify
521,Cash,True,verify
4094,Invoice,False,verify
562,Cash,False,approve
6912,Invoice,False,verify
4757,Invoice,False,verify
427,Invoice,True,approve
1971,Card,True,approve
901,Cash,False,approve
793,Invoice,True,approve
4788,Invoice,False,verify
6785,Card,True,verify
4413,Cash,False,reject
1444,Cash,True,reject
2681,Invoice,True,verify
679,Cash,True,verify
1341,Invoice,True,verify
1023,Cash,False,reject
1796,Cash,True,reject
2970,Cash,False,reject
18,Invoice,True,approve
4273,Card,True,approve
1317,Invoice,True,verify
740,Card,False,approve
6413,Cash,True,reject
6976,Invoice,False,verify
1178,Cash,False,reject
3151,Cash,False,reject
7003,Invoice,True,verify
9247,Cash,True,reject
4362,Invoice,True,verify
2716,Invoice,True,verify
1492,Invoice,True,verify
2783,Invoice,True,verify
1917,Card,True,approve
9794,Cash,False,reject
9000,Cash,False,reject
474,Cash,False,approve
1118,Cash,False,reject
132,Invoice,False,verify
893,Invoice,True,approve
444,Invoice,False,verify
6132,Invoice,True,verify
1053,Cash,True,reject
2142,Invoice,True,verify
6443,Cash,True,reject
6942,Cash,True,reject
50,Invoice,True,approve
6062,Invoice,True,verify
629,Invoice,True,approve
8041,Cash,True,reject
7941,Invoice,True,verify
9584,Cash,True,reject
1550,Cash,True,reject
2396,Cash,False,reject
1217,Cash,True,reject
4096,Invoice,True,verify
1466,Cash,False,reject
1259,Cash,True,reject
9059,Invoice,False,verify
6980,Invoice,False,verify
970,Invoice,True,approve
774,Cash,False,approve
5682,Invoice,False,verify
1039,Invoice,False,verify
2644,Card,True,approve
9470,Cash,False,reject
6446,Invoice,True,verify
304,Invoice,True,approve
5299,Invoice,True,verify
1228,Cash,True,reject
516,Cash,False,approve
1033,Invoice,False,verify
988,Cash,False,approve
1270,Cash,True,reject
987,Invoice,False,verify
570,Cash,False,approve
6869,Cash,True,reject
5494,Invoice,True,verify
4865,Invoice,False,verify
1223,Cash,True,reject
2363,Card,True,approve
7571,Invoice,True,verify
4788,Invoice,True,verify
5871,Cash,True,reject
3794,Card,False,approve
5441,Cash,True,reject
1806,Invoice,True,verify
6017,Invoice,True,verify
1082,Cash,False,reject
594,Invoice,False,verify
357,Invoice,True,approve
2689,Card,True,approve
330,Invoice,False,verify
1496,Cash,True,reject
855,Cash,False,approve
1588,Cash,False,reject
7860,Invoice,True,verify
1192,Invoice,True,verify
1424,Invoice,False,verify
7272,Cash,False,reject
8526,Cash,True,reject
2182,Cash,False,reject
9842,Invoice,True,verify
8562,Cash,True,reject
113,Invoice,True,approve
2759,Invoice,True,verify
7514,Cash,True,reject
2271,Invoice,True,verify
1906,Cash,True,reject
3478,Cash,True,reject
2815,Cash,True,reject
8552,Cash,False,reject
7749,Cash,True,reject
1592,Invoice,False,verify
9563,Cash,True,reject
9100,Invoice,True,verify
7529,Cash,True,reject
43,Invoice,False,verify
714,Cash,False,approve
6897,Invoice,True,verify
5092,Invoice,True,verify
1657,Invoice,True,verify
3189,Invoice,False,verify
6203,Cash,False,reject
3471,Cash,False,reject
303,Invoice,False,verify
365,Card,True,approve
1202,Cash,True,reject
6570,Cash,True,reject
350,Invoice,True,approve
5347,Cash,True,reject
1370,Invoice,True,verify
790,Cash,True,verify
3317,Invoice,False,verify
1746,Invoice,True,verify
790,Invoice,True,approve
6199,Cash,True,reject
5004,Invoice,True,verify
4376,Invoice,True,verify
2915,Cash,False,reject
278,Invoice,True,approve
306,Cash,False,approve
935,Cash,True,verify
3705,Cash,True,reject
9912,Cash,True,reject
189,Invoice,True,approve
383,Invoice,True,approve
6992,Invoice,True,verify
2697,Card,True,approve
612,Invoice,True,approve
1529,Invoice,True,verify
1412,Invoice,True,verify
3097,Invoice,False,verify
707,Invoice,True,approve
5089,Cash,True,reject
969,Invoice,False,verify
1402,Card,True,approve
4447,Cash,True,reject
1287,Cash,True,reject
811,Invoice,True,approve
7977,Invoice,True,verify
1282,Cash,True,reject
9354,Card,True,verify
3698,Cash,True,reject
3588,Cash,True,reject
3211,Cash,False,reject
9838,Card,True,verify
846,Invoice,True,approve
5856,Card,True,verify
4573,Card,False,approve
3964,Invoice,True,verify
5597,Cash,True,reject
4829,Invoice,False,verify
1981,Cash,True,reject
387,Invoice,False,verify
3844,Invoice,False,verify
7793,Invoice,True,verify
612,Cash,False,approve
827,Invoice,True,approve
539,Cash,False,approve
4776,Cash,True,reject
4108,Cash,True,reject
8968,Invoice,True,verify
5101,Invoice,True,verify
6980,Cash,True,reject
4411,Invoice,True,verify
877,Invoice,True,approve
1760,Card,False,approve
2549,Invoice,False,verify
3227,Invoice,True,verify
4460,Invoice,True,verify
135,Invoice,False,verify
653,Invoice,False,verify
1131,Card,True,approve
1038,Invoice,True,verify
174,Cash,False,approve
1982,Invoice,True,verify
2650,Cash,True,reject
6986,Card,True,verify
499,Invoice,False,verify
185,Invoice,False,verify
9169,Invoice,True,verify
4146,Invoice,False,verify
5364,Invoice,False,verify
1067,Invoice,True,verify
940,Invoice,True,approve
4194,Invoice,True,verify
573,Invoice,True,approve
5916,Cash,False,reject
4936,Invoice,False,verify
3993,Invoice,False,verify
778,Invoice,True,approve
9241,Invoice,True,verify
1790,Invoice,True,verify
73,Card,True,approve
991,Cash,True,verify
2909,Invoice,False,verify
4797,Cash,False,reject
7306,Invoice,True,verify
2684,Cash,True,reject
4590,Invoice,True,verify
6198,Invoice,True,verify
179,Cash,False,approve
2181,Cash,False,reject
702,Card,True,approve
1155,Cash,False,reject
520,Cash,False,approve
1647,Cash,True,reject
9491,Card,False,verify
3680,Cash,False,reject
6030,Invoice,True,verify
1464,Invoice,True,verify
1882,Invoice,True,verify
4678,Invoice,False,verify
735,Cash,True,verify
4342,Invoice,True,verify
5589,Invoice,False,verify
1055,Invoice,True,verify
2252,Invoice,True,verify
5617,Cash,False,reject
1194,Invoice,True,verify
1640,Cash,True,reject
1855,Invoice,True,verify
3453,Invoice,True,verify
1538,Invoice,True,verify
2429,Invoice,True,verify
2323,Invoice,True,verify
216,Invoice,True,approve
1605,Cash,True,reject
6656,Invoice,True,verify
700,Invoice,True,approve
6389,Invoice,False,verify
3048,Card,True,approve
919,Invoice,False,verify
3300,Invoice,True,verify
27,Cash,True,approve
6034,Invoice,False,verify
8925,Invoice,True,verify
935,Cash,True,verify
186,Cash,True,approve
1577,Card,False,approve
1301,Invoice,True,verify
3728,Cash,False,reject
234,Card,True,approve
4894,Invoice,False,verify
2369,Cash,False,reject
7918,Cash,True,reject
235,Invoice,False,verify
2118,Cash,False,reject
6737,Invoice,True,verify
1921,Invoice,False,verify
1884,Invoice,True,verify
3105,Cash,True,reject
1904,Cash,False,reject
5793,Cash,True,reject
6767,Cash,True,reject
202,Cash,True,approve
404,Cash,True,approve
1471,Invoice,True,verify
4471,Cash,False,reject
779,Invoice,False,verify
1426,Cash,True,reject
7898,Cash,True,reject
5467,Invoice,True,verify
5343,Cash,True,reject
1517,Invoice,True,verify
1629,Card,True,approve
61,Invoice,True,approve
1119,Card,True,approve
587,Card,True,approve
5762,Cash,True,reject
881,Invoice,True,approve
1158,Invoice,True,verify
